user_idx,product_idx,implicit_rating,interaction_type
1356,22,1,view
385,71,1,view
1893,46,3,add_to_cart
315,36,5,conversion
1372,16,1,view
146,82,1,view
1477,62,2,click
1996,17,1,view
1315,53,3,add_to_cart
1830,89,2,click
871,79,1,view
1043,54,2,click
921,49,1,view
380,54,2,click
1183,63,3,add_to_cart
484,91,2,click
841,69,2,click
68,4,2,click
1443,47,1,view
986,88,1,view
1495,93,2,click
1759,96,2,click
952,66,1,view
1822,78,1,view
967,80,2,click
1966,85,1,view
1297,69,2,click
639,78,1,view
703,68,2,click
960,58,2,click
960,73,2,click
862,45,5,conversion
1634,37,1,view
72,88,3,add_to_cart
1534,38,2,click
1154,33,1,view
969,74,1,view
105,84,5,conversion
1656,94,2,click
587,62,1,view
1035,9,3,add_to_cart
569,32,1,view
575,35,3,add_to_cart
29,94,1,view
357,75,2,click
1349,57,1,view
359,33,2,click
483,62,1,view
1080,4,1,view
172,18,2,click
1682,19,3,add_to_cart
1541,52,2,click
487,84,1,view
1305,21,1,view
1503,44,1,view
541,96,3,add_to_cart
107,21,1,view
975,38,1,view
1942,96,3,add_to_cart
478,48,2,click
798,60,1,view
1086,55,1,view
1898,57,1,view
646,67,2,click
84,12,3,add_to_cart
1305,45,5,conversion
884,78,3,add_to_cart
1757,34,1,view
546,12,1,view
1196,50,1,view
1382,95,1,view
1376,75,2,click
1064,43,2,click
368,40,2,click
1377,1,3,add_to_cart
24,52,1,view
212,87,1,view
449,92,1,view
395,4,1,view
188,7,3,add_to_cart
1344,27,5,conversion
1306,15,2,click
245,11,3,add_to_cart
266,48,2,click
1842,82,2,click
1980,23,3,add_to_cart
1424,23,1,view
956,84,3,add_to_cart
1308,58,3,add_to_cart
566,98,1,view
1850,85,2,click
662,32,1,view
151,35,2,click
783,49,1,view
123,33,5,conversion
542,22,1,view
1007,25,2,click
365,82,1,view
294,69,2,click
447,78,2,click
1869,56,2,click
211,4,1,view
1170,93,1,view
913,2,3,add_to_cart
304,83,2,click
1910,4,2,click
545,19,2,click
1852,50,2,click
1055,90,3,add_to_cart
1004,61,1,view
1728,93,2,click
1608,8,2,click
6,49,5,conversion
1675,99,1,view
1161,68,3,add_to_cart
735,42,2,click
820,7,2,click
1963,82,1,view
1094,43,1,view
941,97,2,click
1326,25,1,view
80,49,2,click
612,89,1,view
218,80,2,click
996,10,3,add_to_cart
896,94,1,view
73,24,1,view
1214,30,1,view
129,69,2,click
1023,68,5,conversion
1662,57,5,conversion
33,4,1,view
691,92,1,view
242,27,3,add_to_cart
1366,66,1,view
1388,68,1,view
1186,29,3,add_to_cart
75,94,1,view
1339,2,1,view
1880,79,1,view
1436,83,1,view
352,80,1,view
629,12,1,view
349,75,1,view
1674,13,1,view
1218,78,1,view
1647,25,1,view
1661,94,2,click
664,15,5,conversion
1179,69,1,view
1713,27,2,click
1214,22,1,view
247,35,1,view
850,21,2,click
1133,21,1,view
1895,74,1,view
204,80,2,click
1592,20,1,view
997,10,1,view
367,11,2,click
1215,36,1,view
1653,98,1,view
259,26,1,view
554,66,1,view
489,22,2,click
77,76,1,view
1023,78,5,conversion
1284,38,1,view
9,71,1,view
240,67,5,conversion
1267,46,3,add_to_cart
1105,64,1,view
1577,80,2,click
566,6,1,view
1631,19,2,click
1983,60,1,view
327,85,3,add_to_cart
110,82,1,view
429,55,1,view
1263,97,1,view
213,94,1,view
1100,22,1,view
59,62,2,click
145,30,2,click
1213,74,1,view
407,95,2,click
667,29,2,click
667,29,1,view
1510,52,3,add_to_cart
769,28,1,view
1198,62,1,view
892,18,1,view
1248,58,1,view
764,17,1,view
397,80,1,view
552,25,1,view
65,88,2,click
574,17,1,view
953,58,1,view
1557,43,1,view
604,77,1,view
1627,81,5,conversion
1854,21,2,click
1132,29,1,view
1755,66,1,view
443,75,1,view
947,35,1,view
876,94,3,add_to_cart
507,41,1,view
455,75,3,add_to_cart
1871,73,3,add_to_cart
855,5,1,view
963,93,2,click
68,54,2,click
981,89,3,add_to_cart
926,63,1,view
1143,96,1,view
1498,52,3,add_to_cart
271,45,1,view
1326,11,1,view
1370,39,1,view
940,73,2,click
49,58,1,view
283,90,1,view
1617,47,2,click
1441,81,1,view
1284,9,1,view
