user_id,product_id,interaction_type,implicit_rating,timestamp
U001356,P0022,view,1,2025-02-04 01:48:59
U000385,P0071,view,1,2025-10-21 11:55:23
U001893,P0046,add_to_cart,3,2024-12-19 19:01:02
U000315,P0036,conversion,5,2025-11-05 05:55:50
U001372,P0016,view,1,2025-10-15 09:26:39
U000146,P0082,view,1,2025-09-30 09:27:44
U001477,P0062,click,2,2025-05-26 11:50:31
U001996,P0017,view,1,2025-11-22 11:05:30
U001315,P0053,add_to_cart,3,2025-08-13 12:10:25
U001830,P0089,click,2,2025-04-14 11:00:54
U000871,P0079,view,1,2025-01-31 09:23:05
U001043,P0054,click,2,2024-11-27 17:23:08
U000921,P0049,view,1,2025-08-11 13:49:46
U000380,P0054,click,2,2025-06-01 16:42:28
U001183,P0063,add_to_cart,3,2025-08-10 18:35:49
U000484,P0091,click,2,2025-01-02 14:29:09
U000841,P0069,click,2,2025-04-25 16:38:49
U000068,P0004,click,2,2025-05-11 21:12:46
U001443,P0047,view,1,2025-06-13 17:46:46
U000986,P0088,view,1,2025-08-05 12:19:39
U001495,P0093,click,2,2025-08-12 11:49:26
U001759,P0096,click,2,2024-12-25 18:31:32
U000952,P0066,view,1,2025-01-08 01:24:14
U001822,P0078,view,1,2025-01-17 10:29:44
U000967,P0080,click,2,2025-04-25 02:07:21
U001966,P0085,view,1,2025-04-27 08:18:07
U001297,P0069,click,2,2025-08-19 16:25:42
U000639,P0078,view,1,2025-07-10 02:36:19
U000703,P0068,click,2,2025-01-01 06:19:56
U000960,P0058,click,2,2025-09-06 16:51:41
U000960,P0073,click,2,2025-11-17 02:32:37
U000862,P0045,conversion,5,2025-11-04 08:14:29
U001634,P0037,view,1,2025-01-27 06:49:38
U000072,P0088,add_to_cart,3,2024-12-17 21:21:28
U001534,P0038,click,2,2025-04-13 00:14:09
U001154,P0033,view,1,2025-02-08 01:49:57
U000969,P0074,view,1,2025-04-03 06:29:19
U000105,P0084,conversion,5,2025-02-08 12:48:14
U001656,P0094,click,2,2025-07-11 19:38:59
U000587,P0062,view,1,2025-10-16 13:08:17
U001035,P0009,add_to_cart,3,2025-04-28 18:27:35
U000569,P0032,view,1,2025-01-09 10:26:21
U000575,P0035,add_to_cart,3,2025-02-21 04:42:55
U000029,P0094,view,1,2025-10-14 05:57:22
U000357,P0075,click,2,2025-05-06 16:44:35
U001349,P0057,view,1,2025-08-31 09:34:17
U000359,P0033,click,2,2025-06-04 14:15:23
U000483,P0062,view,1,2025-03-10 22:11:31
U001080,P0004,view,1,2025-09-15 18:49:27
U000172,P0018,click,2,2025-08-26 20:27:26
U001682,P0019,add_to_cart,3,2025-09-16 05:35:27
U001541,P0052,click,2,2025-07-06 18:05:15
U000487,P0084,view,1,2025-07-11 07:25:54
U001305,P0021,view,1,2025-03-08 18:30:13
U001503,P0044,view,1,2025-09-12 11:28:02
U000541,P0096,add_to_cart,3,2025-09-25 08:49:07
U000107,P0021,view,1,2025-09-29 19:55:37
U000975,P0038,view,1,2025-07-30 19:09:16
U001942,P0096,add_to_cart,3,2025-04-27 04:40:42
U000478,P0048,click,2,2025-04-10 01:16:49
U000798,P0060,view,1,2025-05-26 13:14:07
U001086,P0055,view,1,2025-08-08 16:05:35
U001898,P0057,view,1,2025-07-15 00:07:20
