user_id,age,gender,city,monthly_income,credit_score,employment_status,created_at
U000000,58,M,Nueva Vietman,17998.23,691,Salaried,2024-06-22
U000001,35,M,Nueva Chile,19704.71,748,Salaried,2025-06-16
U000002,65,M,Nueva Rumania,11608.68,684,Self-Employed,2024-10-14
U000003,75,M,Nueva Bosnia y Herzegovina,34459.08,752,Salaried,2024-05-09
U000004,20,M,Nueva República de Macedonia del Norte,10080.07,691,Salaried,2024-04-24
U000005,32,M,San Estefanía los bajos,10116.77,657,Salaried,2025-02-21
U000006,63,F,San Abraham de la Montaña,15447.11,620,Salaried,2025-05-17
U000007,55,F,San Jacinto los bajos,4745.96,659,Self-Employed,2024-03-21
U000008,18,M,Vieja Brunei Darussalam,7275.74,678,Self-Employed,2024-02-02
U000009,39,F,San Beatriz los bajos,7747.97,620,Salaried,2025-09-10
U000010,66,F,San Salma los bajos,32189.3,706,Salaried,2025-08-09
U000011,42,M,Vieja Qatar,13912.14,627,Salaried,2024-02-26
U000012,40,F,San Arcelia los altos,9637.05,684,Self-Employed,2024-07-06
U000013,64,F,San Reynaldo de la Montaña,6696.93,703,Salaried,2025-05-22
U000014,42,M,Nueva Suecia,9317.19,668,Salaried,2024-05-17
U000015,71,F,San Arcelia de la Montaña,9311.23,768,Salaried,2025-09-25
U000016,63,M,Vieja Guinea,13251.97,652,Salaried,2024-11-08
U000017,32,F,San Dalia los bajos,21884.35,639,Retired,2024-08-23
U000018,72,M,Vieja Túnez,15143.37,622,Unemployed,2025-11-18
U000019,42,F,Nueva Portugal,6021.48,684,Salaried,2025-06-10
U000020,71,F,Nueva Mozambique,20807.73,713,Salaried,2024-09-11
U000021,40,M,San Timoteo los altos,12464.14,670,Self-Employed,2025-01-27
U000022,62,M,Vieja Bahrein,5502.11,657,Self-Employed,2024-05-17
U000023,28,M,Vieja Lituania,10133.65,716,Salaried,2024-06-16
U000024,42,F,Nueva República Democrática del Congo,16418.61,616,Retired,2025-10-02
U000025,58,M,San Eric los altos,16227.3,679,Self-Employed,2024-12-13
U000026,71,M,San Trinidad los bajos,8900.36,718,Salaried,2024-03-11
U000027,20,F,San Clara de la Montaña,24800.02,722,Salaried,2025-06-22
U000028,22,M,San Rocío los bajos,8074.53,656,Retired,2025-10-19
